market_id	n	coverage	reason
19955901401364473560858785785827776742157277536430090972203366592852842528879	2655	0.885	no_open_10s
64108323466985403319725999792534986091068140417591149720420366390689326333799	1659	0.553	coverage_below_90pct
66947401132933796436974704593111541643246383407354717654820943109538432267477	2349	0.783	no_close_10s
89586511544733554409385189657561407054008665297283171632412999691294040771637	2725	0.9083333333333333	no_close_10s
57129558757487989655737255657680317312964123995235487973047426082557122680777	2556	0.852	no_close_10s
112054001159740359605900571730403848682643019795940340503271208588883657877949	2644	0.8813333333333333	coverage_below_90pct
100455634814338787090813156663815103183987454346230517947105094171759830117031	2602	0.8673333333333333	no_close_10s
50036650072906372585745133504921392553729346428357002916097659589571017859034	2711	0.9036666666666666	no_close_10s
40780137328427957849933602425689618634465394862880350855663003393649237146651	1801	0.6003333333333334	no_close_10s
1442529797409916990890027455502134489209496998620132751943781563657815725584	2787	0.929	no_close_10s
80220939940550320802374564802733827609596407537298876724131068513219318610837	2883	0.961	no_open_10s
14302785800651505999211606388338011327832691885790505637517378928882384089758	2227	0.7423333333333333	no_close_10s
50569456261239863504461642646365048118435842833779647137883186779060773207970	2803	0.9343333333333333	no_open_10s
24613010281233977766911553326954112629747699571048012019758093834056222089528	2516	0.8386666666666667	coverage_below_90pct
60024483305473080112023536709798009001206771434274309846272563165482656077167	2456	0.8186666666666667	coverage_below_90pct
1131984823232887923262981392171632547509569942509043799149667421983001359228	2226	0.742	no_close_10s
33832770526731636505499927868524875871145381065009932031073414200589523184776	2754	0.918	no_open_10s
91469233528256243772686509991101713787435094238882092464278114309313467203447	2698	0.8993333333333333	no_open_10s
20283507929372912983945535953547909564333862939278507150713972915252662085058	2449	0.8163333333333334	coverage_below_90pct
37441909752140041377530998903582877632957434229910706187398748982414978775810	2554	0.8513333333333334	coverage_below_90pct
101315289588361550538009176648412816752962385647651150697940156709270910382412	2582	0.8606666666666667	coverage_below_90pct
78834687510627026522908279525368461863159981402295100518157222211355026164894	2351	0.7836666666666666	no_close_10s
44203294677340486327330112417625210625655972936415578106037050653374874997377	2893	0.9643333333333334	no_open_10s
50240019759165753468794422851528342985569597355771305429325431536246858774893	2468	0.8226666666666667	no_close_10s
110568343351426590861266690469383773386914263977686170938452202345465299966869	2804	0.9346666666666666	no_open_10s
18535041731431831691300679453940970568921959272746767077675845527766863501604	2342	0.7806666666666666	coverage_below_90pct
